,0,1,2,3,passive,trend,value
0,51.0,0.0,0.0,49.0,-0.9980779620845888,-0.8978340214889818,
1,51.0,0.0,1.0,48.0,-0.998089188956648,-0.9001062480793252,271.70097307822147
2,51.0,0.0,2.0,47.0,-0.9981015045511472,-0.9028744193766177,271.6184754507695
3,51.0,0.0,3.0,46.0,-0.9981148740105377,-0.906098870783253,271.8201959982507
4,51.0,0.0,4.0,45.0,-0.9981292348389228,-0.9088072241956363,272.3259009701222
5,51.0,0.0,5.0,44.0,-0.9981445243347623,-0.911489390494008,273.1413147452102
6,51.0,0.0,6.0,43.0,-0.9981607052218153,-0.9145836961817988,274.30774938576485
7,51.0,0.0,7.0,42.0,-0.9981777231970225,-0.9176226205562772,275.81221963345774
8,51.0,0.0,8.0,41.0,-0.9981955198468309,-0.9206050042640234,277.7146374111195
9,51.0,0.0,9.0,40.0,-0.9982140334078344,-0.9235295841783177,279.9825694159067
10,51.0,0.0,10.0,39.0,-0.9982331990496125,-0.9267775119000317,282.5994708667868
11,51.0,0.0,11.0,38.0,-0.9982529487587556,-0.9299368801642192,285.53438347573996
12,51.0,0.0,12.0,37.0,-0.9982732117352819,-0.9330071744661884,288.8346919165677
13,51.0,0.0,13.0,36.0,-0.9982938947485067,-0.9363245879028024,292.54612083977395
14,51.0,0.0,14.0,35.0,-0.9983148484221049,-0.9391986819967872,296.60532372407476
15,51.0,0.0,15.0,34.0,-0.9983360667771848,-0.9425978463117011,301.0149033493561
16,51.0,0.0,16.0,33.0,-0.9983574677773958,-0.9458484109646056,305.81480152243114
17,51.0,0.0,17.0,32.0,-0.9983789667691496,-0.9489529274300041,311.05772642250594
18,51.0,0.0,18.0,31.0,-0.9984004760235635,-0.9521742981742203,316.70529057966075
19,51.0,0.0,19.0,30.0,-0.9984219035523989,-0.9552257981386982,322.7342223632018
20,51.0,0.0,20.0,29.0,-0.9984431530398701,-0.9583418393921659,329.1808802611087
21,51.0,0.0,21.0,28.0,-0.99846412206833,-0.9614829733825966,336.031303953049
22,51.0,0.0,22.0,27.0,-0.9984847004191967,-0.9644138772940227,343.285545507133
23,51.0,0.0,23.0,26.0,-0.9985047658017957,-0.967328389632564,350.9147381465751
24,51.0,0.0,24.0,25.0,-0.9985237424042691,-0.970312601788957,358.76492340737667
25,51.0,0.0,25.0,24.0,-0.9985416052479557,-0.9731613999220068,366.87416098183013
26,51.0,0.0,26.0,23.0,-0.9985581917195613,-0.9758688182649427,375.16732502137074
27,51.0,0.0,27.0,22.0,-0.998573295889922,-0.9784273948100695,383.6090128308826
28,51.0,0.0,28.0,21.0,-0.9985867973175658,-0.9809410318079114,392.1889119329542
29,51.0,0.0,29.0,20.0,-0.9985982418151992,-0.9834548964864821,400.7112255894513
30,51.0,0.0,30.0,19.0,-0.9986073590165673,-0.98589215330469,409.09249505910793
31,51.0,0.0,31.0,18.0,-0.9986135776271555,-0.9879613819648927,417.097689995316
32,51.0,0.0,32.0,17.0,-0.9986161705809287,-0.9896938042442863,424.386355385932
33,51.0,0.0,33.0,16.0,-0.9986141962438346,-0.9912021094562015,430.5556130764968
34,51.0,0.0,34.0,15.0,-0.9986063184604994,-0.9924965841731971,434.9910739752393
35,51.0,0.0,35.0,14.0,-0.9985904962848359,-0.993580101248313,436.7484173479474
36,51.0,0.0,36.0,13.0,-0.9985637348972324,-0.9944402317021004,434.55114409581404
37,51.0,0.0,37.0,12.0,-0.9985235376818205,-0.995299786150487,427.32727984627235
38,51.0,0.0,38.0,11.0,-0.9984662700832949,-0.9961490180372283,414.01031696586136
39,51.0,0.0,39.0,10.0,-0.9983874667676494,-0.9955176454845209,394.10411526604736
40,51.0,0.0,40.0,9.0,-0.9982820100846116,-0.9943736419285655,368.24968857691596
41,51.0,0.0,41.0,8.0,-0.9981451305657855,-0.9928413872640568,338.1890717237421
42,51.0,0.0,42.0,7.0,-0.9979736960271199,-0.9907921079658638,307.03739755310386
43,51.0,0.0,43.0,6.0,-0.9977662597212169,-0.9880064980630461,278.32826640635966
44,51.0,0.0,44.0,5.0,-0.997517535731128,-0.9840949692893824,254.89037003839212
45,51.0,0.0,45.0,4.0,-0.9972003116825947,-0.9783376686612646,236.70105559270056
46,51.0,0.0,46.0,3.0,-0.9967159508336213,-0.9672265386511891,217.38410283596426
47,51.0,0.0,47.0,2.0,-0.9957959936294146,-0.9511955686414493,179.17627512897448
48,51.0,0.0,48.0,1.0,-0.9935958882392472,-0.9147566771552669,125.62632954786962
49,51.0,0.0,49.0,0.0,-0.9894501335606545,-0.7802168313070967,75.76561816368225
50,51.0,0.0,50.0,-1.0,-0.9878263029741868,-0.693388172339197,60.676629608265344
51,51.0,0.0,51.0,-2.0,-0.9870476682435328,,52.96474493909796
